"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"MODESTUDIOS1";"EXPERIENCIAPREVIA1";"EXPERIENCIAPREVIA4_1";"EXPERIENCIAPREVIA4_2";"EXPERIENCIAPREVIA4_3";"EXPERIENCIAPREVIA4_4";"EXPERIENCIAPREVIA4_5";"EXPERIENCIAPREVIA2";"EXPERIENCIAPREVIA3";"PRIMERA_GENERACION1";"PRIMERA_GENERACION2";"EXPERIENCIAPREVIA5_1";"EXPERIENCIAPREVIA5_2";"EXPERIENCIAPREVIA5_3";"EXPERIENCIAPREVIA5_4";"EXPERIENCIAPREVIA5_5";"EXPERIENCIAPREVIA5_6";"EXPERIENCIAPREVIA5_7";"EXPERIENCIAPREVIA5_8";"EXPERIENCIAPREVIA5_9";"EXPERIENCIAPREVIA5_10";"CCEA3_1";"CCEA3_2";"CCEA3_3";"CCEA3_4";"CCEA3_5";"CCEA3_6";"CCEA12_1";"CCEA12_2";"CCEA12_3";"CCEA12_4";"CCEA12_5";"CCEA12_6";"CCEA12_7";"CCEA12_8";"CCEA12_9";"CCEA12_10";"CCEA12_11";"CCEA8_1";"CCEA8_2";"CCEA8_3";"CCEA8_4";"CCEA8_5";"CCEA8_6";"CCEA9";"CCEA10";"CCEA6_1";"CCEA6_2";"CCEA6_3";"CCEA6_4";"CCEA6_5";"CCEA7_1_1";"CCEA7_1_3";"CCEA7_2"
"K4850111150";2025;37101;"37";2;4;0;0;0;1;0;4;0;1;0;3;1;1;3;2;2;1;3;2;1;3;3;2;3;3;1;3;2;3;2;3;2;1;1;2;1;2;0;0;0;0;0;1;2;3;3;3;3;3;2;1;1;1
"K1659251153";2025;17054;"17";2;4;0;0;0;1;1;1;6;1;0;2;0;2;2;3;0;0;0;0;0;1;2;3;3;1;1;2;2;1;3;3;3;3;3;2;3;3;0;0;1;0;0;0;3;2;2;1;2;1;3;1;4;3
"K0576381156";2025;35064;"35";1;4;0;1;0;1;0;4;0;1;0;1;1;1;3;1;1;2;2;3;1;3;3;2;2;2;2;1;2;2;0;3;0;3;3;2;1;3;1;0;1;0;0;0;2;3;3;3;3;3;3;1;0;1
"K4382781156";2025;19050;"19";1;4;0;1;0;0;0;1;6;1;0;2;1;1;3;2;3;1;2;3;1;3;3;3;2;1;1;3;3;3;3;3;1;3;2;3;3;2;1;0;0;0;0;0;3;4;3;3;3;3;3;1;1;2
"K0383011159";2025;56518;"56";1;4;0;1;0;0;0;1;6;0;1;2;1;2;3;3;2;1;3;2;3;3;3;2;1;1;1;3;3;1;1;2;2;3;2;2;2;2;1;1;0;0;0;0;3;1;3;3;3;3;3;1;2;4
"K9185641153";2025;52070;"52";1;4;0;1;0;0;1;3;6;1;0;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3;1;3;3;3;1;3;3;3;3;1;1;0;0;0;0;0;3;4;3;3;3;3;3;1;1;3
"K0687141158";2025;53306;"53";5;5;9;9;9;9;9;0;0;1;0;2;3;3;1;3;3;2;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;3;3;2;3;3;1;1;1;0;0;0;3;4;2;3;3;3;3;1;4;2
"K5101241253";2025;25065;"25";1;4;0;1;0;1;0;1;6;0;1;3;0;3;3;2;3;2;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;3;1;1;1;1;0;0;3;4;3;3;3;3;3;1;2;3
"K7416061252";2025;56220;"56";2;4;0;1;0;0;0;4;0;0;2;1;1;2;2;2;3;1;2;1;0;3;2;3;3;2;1;3;3;2;3;2;3;0;3;3;0;3;1;1;1;1;0;0;3;2;2;0;0;2;2;1;4;4
"K4316441259";2025;40074;"40";6;5;9;9;9;9;9;0;0;1;0;3;3;3;1;2;3;2;2;2;3;3;3;2;2;1;1;3;3;2;2;2;2;2;2;3;3;3;1;0;0;1;0;0;2;2;2;1;3;3;3;1;4;1
