"ID";"ANYO_PROCESO";"COD_CARRERA";"COD_UNIVERSIDAD";"AUTOEFICACIA";"MOT_APRENDIZAJE";"MOT_DESEMPENO";"AUTORREGULACION"
"L3400381459";2025;38168;38;"1";"2";"1";"2"
"L0905911459";2025;44027;44;"3";"2";"1";"2"
"L9308141462";2025;45037;45;"1";"1";"1";"1"
"L0008711459";2025;17009;17;"1";"2";"3";"2"
"L4013901458";2025;38162;38;"1";"1";"1";"1"
"L4414401458";2025;45005;45;"1";"2";"1";"3"
"L7414521458";2025;11026;11;"1";"3";"3";"2"
"L3814901453";2025;11040;11;"1";"3";"1";"3"
"L3415231455";2025;21043;21;"2";"2";"1";"2"
"L1915311458";2025;11060;11;"2";"3";"2";"2"
"L9918121453";2025;20052;20;"2";"3";"2";"3"
"L4118801462";2025;39129;39;"2";"2";"1";"2"
"L9619741453";2025;46101;46;"1";"2";"2";"3"
"L6821651458";2025;12097;12;"3";"3";"1";"2"
"L1828301456";2025;14103;14;"2";"3";"3";"2"
"L6031931459";2025;49111;49;"3";"3";"3";"2"
"L6533631452";2025;11525;11;"1";"2";"1";"3"
"L1936261451";2025;52504;52;"1";"1";"1";"1"
"L6349851454";2025;47001;47;"1";"2";"2";"2"
"L4553101456";2025;46301;46;"1";"3";"1";"2"
"L7056381460";2025;56418;56;"1";"2";"1";"2"
"L2058041455";2025;26071;26;"3";"2";"1";"2"
"L2158431451";2025;25019;25;"3";"2";"2";"2"
"L3176701455";2025;56124;56;"3";"3";"2";"3"
"L9578041460";2025;38175;38;"2";"1";"1";"1"
"L0978301459";2025;56318;56;"1";"1";"1";"2"
"L9200801560";2025;29012;29;"1";"2";"1";"2"
"L1800941558";2025;22080;22;"2";"3";"1";"2"
"L0401591552";2025;19003;19;"2";"2";"2";"2"
"L5805611559";2025;18096;18;"3";"3";"3";"3"
"L7407691560";2025;56510;56;"2";"3";"2";"3"
"L3707701556";2025;11078;11;"3";"3";"2";"3"
